Topic,Probability
0,0.9285635981341035
1,1.0
7,0.9763929706855263
1,1.0
6,1.0
9,0.7598785092488035
0,1.0
1,1.0
0,1.0
1,1.0
8,0.9226581392914076
0,1.0
0,1.0
0,1.0
1,1.0
1,1.0
0,1.0
0,1.0
3,0.7482999246573303
-1,0.0
9,1.0
0,0.994787805927425
0,1.0
-1,0.0
0,1.0
14,1.0
0,1.0
7,0.7788910940045746
5,1.0
11,0.7302330539819154
0,1.0
16,1.0
1,1.0
8,0.7429972251643108
0,1.0
0,1.0
7,0.8224828152552359
0,0.8690848116971345
15,0.933652537574398
0,1.0
0,0.8861610733261228
-1,0.0
1,0.9880049603276543
0,0.9641183700163114
-1,0.0
1,1.0
0,0.8833656671667063
-1,0.0
1,1.0
2,1.0
1,1.0
0,0.7723371719521102
4,1.0
7,0.7424595586900093
8,0.6916970230517878
8,1.0
-1,0.0
1,1.0
-1,0.0
4,1.0
7,0.8475607078761657
4,0.9301538865326717
1,1.0
1,1.0
0,1.0
1,1.0
0,1.0
-1,0.0
0,1.0
1,0.9694652411048823
-1,0.0
1,1.0
2,0.6219728310915424
5,1.0
-1,0.0
-1,0.0
1,1.0
0,1.0
0,0.6868950411200293
0,1.0
4,0.8788249091272569
0,1.0
0,1.0
-1,0.0
2,0.8613427169896967
0,1.0
1,1.0
5,0.7613874109467732
1,1.0
7,0.9131521809970923
-1,0.0
0,0.9639714523404058
-1,0.0
1,1.0
7,0.9763929706855263
1,1.0
5,1.0
0,1.0
11,1.0
0,1.0
6,1.0
0,1.0
1,0.8952586996079013
0,0.9323807999109056
0,1.0
6,1.0
-1,0.0
2,0.8794117030747842
1,1.0
1,1.0
1,1.0
5,0.7075891675045768
0,0.9410550605712148
-1,0.0
1,0.47718647252732593
6,1.0
3,0.9194109779855802
14,0.9508825286121743
0,1.0
5,0.647199949543252
1,1.0
0,0.7794668610730684
0,0.8165505052024092
-1,0.0
-1,0.0
0,1.0
0,0.9625027168564405
0,0.8578711295607478
1,0.9014298032162414
1,0.8289182906072758
0,0.8448268826414655
1,1.0
-1,0.0
0,0.8441713103645708
0,1.0
8,0.7157238387134458
0,1.0
7,0.8952528776568922
1,1.0
-1,0.0
0,1.0
2,0.8740932985319265
3,0.6428437183445375
12,0.9904055807649343
3,0.780349973046495
1,1.0
0,1.0
-1,0.0
0,1.0
0,1.0
5,1.0
1,0.9354877905970533
15,1.0
1,1.0
1,1.0
0,0.9270907893962854
0,1.0
0,1.0
0,0.9638117580371531
0,1.0
